                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                0.97134,                 1.0716,                 1.3069,                0.46871,                0.43846,                0.43264,                0.24836,                 1.5395,                 1.7197,                 1.6839,             0.00018773,             0.00018773,             0.00018773
                     34,                0.97165,                 1.0542,                 1.3153,                 0.5428,                0.34161,                0.39809,                 0.2449,                 1.4416,                 1.8848,                 1.5843,             0.00018616,             0.00018616,             0.00018616
                     35,                0.95734,                 1.0654,                 1.3087,                0.47143,                0.38349,                0.41902,                0.25027,                 1.4266,                 1.7444,                 1.5853,             0.00018459,             0.00018459,             0.00018459
                     36,                0.95926,                 1.0301,                 1.2954,                0.42426,                0.44278,                 0.4186,                0.26642,                 1.3643,                 1.7066,                 1.5033,             0.00018302,             0.00018302,             0.00018302
                     37,                0.95786,                 1.0232,                 1.2963,                0.48291,                0.43414,                0.41809,                0.26099,                 1.4386,                 1.7337,                 1.5809,             0.00018145,             0.00018145,             0.00018145
                     38,                0.95049,                  1.024,                 1.2921,                0.40418,                0.45423,                0.41692,                0.25865,                 1.3766,                 1.7182,                 1.5516,             0.00017988,             0.00017988,             0.00017988
                     39,                 0.9563,                 1.0082,                 1.2909,                0.47738,                0.47278,                 0.4359,                0.27021,                 1.3941,                 1.6965,                 1.5456,             0.00017831,             0.00017831,             0.00017831
                     40,                0.94272,                0.99886,                 1.2878,                0.46075,                0.43749,                0.42667,                0.25134,                 1.4291,                 1.7005,                 1.5802,             0.00017674,             0.00017674,             0.00017674
                     41,                0.94646,                0.98864,                 1.2881,                0.48108,                0.43994,                0.41643,                0.25671,                 1.3865,                 1.7228,                 1.5285,             0.00017517,             0.00017517,             0.00017517
                     42,                0.92797,                0.97981,                 1.2766,                0.44517,                0.42182,                0.42873,                0.27534,                 1.3107,                 1.7091,                 1.4744,              0.0001736,              0.0001736,              0.0001736
                     43,                0.93682,                0.96641,                 1.2824,                0.42258,                0.41683,                0.41384,                0.23413,                 1.5427,                 1.8623,                 1.6821,             0.00017203,             0.00017203,             0.00017203
                     44,                0.92756,                0.93713,                  1.277,                0.49198,                0.40355,                0.42306,                0.25448,                 1.4793,                  1.806,                 1.6265,             0.00017046,             0.00017046,             0.00017046
                     45,                0.92687,                0.95659,                 1.2716,                0.53116,                 0.3712,                 0.4294,                0.28559,                 1.2498,                 1.6974,                 1.4346,             0.00016888,             0.00016888,             0.00016888
                     46,                0.92518,                0.94858,                 1.2779,                0.44139,                0.43755,                0.41855,                0.26468,                 1.3565,                 1.7582,                 1.5089,             0.00016731,             0.00016731,             0.00016731
                     47,                0.91101,                0.92321,                 1.2677,                0.48099,                0.44718,                0.44845,                0.27806,                 1.4123,                 1.7976,                 1.5592,             0.00016574,             0.00016574,             0.00016574
                     48,                 0.9098,                0.90629,                 1.2563,                0.46843,                0.43797,                0.43505,                0.28937,                 1.2651,                 1.7012,                 1.4455,             0.00016417,             0.00016417,             0.00016417
                     49,                 0.9015,                0.91294,                 1.2538,                0.45299,                0.44617,                0.44257,                0.29001,                 1.3736,                 1.7115,                 1.5378,              0.0001626,              0.0001626,              0.0001626
                     50,                0.91119,                 0.9043,                 1.2632,                0.50487,                0.40367,                0.42821,                0.28228,                 1.3383,                 1.7142,                 1.4825,             0.00016103,             0.00016103,             0.00016103
                     51,                0.90525,                0.90906,                 1.2609,                0.45585,                0.43637,                0.42763,                0.27616,                 1.3771,                 1.7318,                  1.532,             0.00015946,             0.00015946,             0.00015946
                     52,                0.89658,                0.90527,                 1.2502,                0.41975,                0.41441,                0.41359,                0.25799,                 1.4083,                 1.7832,                 1.5606,             0.00015789,             0.00015789,             0.00015789
                     53,                0.89693,                0.89985,                  1.254,                0.43891,                0.42631,                0.42058,                0.24592,                 1.4801,                 1.7991,                 1.6367,             0.00015632,             0.00015632,             0.00015632
                     54,                0.89424,                0.87903,                 1.2494,                0.45709,                0.42574,                0.42242,                0.26324,                 1.4053,                 1.8121,                 1.5825,             0.00015475,             0.00015475,             0.00015475
                     55,                0.89185,                0.87676,                 1.2443,                0.45086,                  0.419,                0.41591,                0.25593,                 1.3565,                 1.8208,                 1.5349,             0.00015318,             0.00015318,             0.00015318
                     56,                0.87358,                0.86017,                 1.2392,                 0.4847,                0.39676,                0.41561,                0.24914,                 1.4422,                 1.8316,                 1.5877,             0.00015161,             0.00015161,             0.00015161
                     57,                0.88641,                0.86385,                 1.2467,                0.52131,                0.41678,                0.43136,                0.27104,                 1.3898,                 1.8296,                 1.5497,             0.00015004,             0.00015004,             0.00015004
                     58,                0.88262,                0.84777,                 1.2426,                0.41806,                0.46364,                0.43399,                0.27406,                 1.3785,                 1.7725,                 1.5475,             0.00014846,             0.00014846,             0.00014846
                     59,                0.87378,                0.84723,                 1.2409,                0.47628,                0.44844,                0.44753,                0.28091,                 1.3931,                 1.7425,                 1.5443,             0.00014689,             0.00014689,             0.00014689
                     60,                0.87464,                0.83707,                 1.2391,                0.43632,                0.44451,                0.42732,                0.27311,                 1.3138,                 1.7135,                 1.4826,             0.00014532,             0.00014532,             0.00014532
                     61,                0.88342,                0.84256,                 1.2535,                0.44558,                0.43712,                0.41949,                0.25839,                 1.4004,                 1.9145,                 1.5799,             0.00014375,             0.00014375,             0.00014375
                     62,                0.87048,                0.82168,                 1.2326,                0.41876,                 0.3912,                0.40708,                 0.2543,                 1.3966,                 1.8356,                 1.5473,             0.00014218,             0.00014218,             0.00014218
                     63,                0.85478,                0.80817,                 1.2198,                0.51054,                0.37933,                0.42768,                0.27588,                 1.3473,                 1.8309,                 1.5161,             0.00014061,             0.00014061,             0.00014061
                     64,                0.85867,                0.80691,                 1.2144,                 0.4968,                0.39647,                0.42683,                0.27913,                 1.3271,                 1.7755,                 1.5123,             0.00013904,             0.00013904,             0.00013904
                     65,                0.85989,                0.80109,                 1.2201,                0.49891,                0.38522,                0.41224,                0.26271,                 1.4043,                 1.8491,                 1.5464,             0.00013747,             0.00013747,             0.00013747
                     66,                0.84713,                0.80199,                 1.2214,                0.50636,                0.38785,                0.42758,                0.26483,                 1.3808,                 1.7039,                 1.5623,              0.0001359,              0.0001359,              0.0001359
                     67,                0.86505,                0.80469,                 1.2246,                0.46984,                0.40933,                0.40859,                0.25132,                 1.3703,                  1.874,                 1.5426,             0.00013433,             0.00013433,             0.00013433
                     68,                0.84923,                0.79591,                 1.2168,                0.44977,                0.41441,                0.40731,                0.25859,                 1.3243,                 1.8491,                 1.5116,             0.00013276,             0.00013276,             0.00013276
                     69,                 0.8462,                0.78358,                 1.2124,                0.44326,                0.41145,                0.39982,                0.25172,                 1.3443,                 1.9178,                 1.5426,             0.00013119,             0.00013119,             0.00013119
                     70,                0.84796,                 0.7808,                 1.2178,                 0.4788,                0.41237,                0.41057,                 0.2687,                   1.31,                 1.8074,                 1.4945,             0.00012961,             0.00012961,             0.00012961
                     71,                0.83994,                0.78893,                 1.2186,                0.56842,                0.38067,                0.43006,                0.28047,                 1.3204,                  1.864,                  1.499,             0.00012804,             0.00012804,             0.00012804
                     72,                0.84282,                 0.7763,                 1.2152,                0.44343,                0.43646,                0.42652,                0.26883,                 1.4369,                  1.814,                 1.5671,             0.00012647,             0.00012647,             0.00012647
                     73,                0.83807,                0.76984,                 1.2047,                0.47194,                0.39881,                0.40227,                0.25503,                 1.3766,                 1.8749,                 1.5282,              0.0001249,              0.0001249,              0.0001249
                     74,                0.83684,                0.76581,                 1.2029,                0.51376,                0.38299,                0.41479,                0.25482,                 1.4248,                 1.8453,                 1.5667,             0.00012333,             0.00012333,             0.00012333
                     75,                0.83452,                0.76527,                 1.2102,                0.46644,                0.39892,                0.42188,                0.27124,                 1.3133,                   1.79,                 1.5039,             0.00012176,             0.00012176,             0.00012176
